Datetime,Turbidity,Reading,Value,Unit,Data Quality
2025-05-01 14:39:52,30.81,2025-05-01 14:54:23,77.58,in,A
2025-05-01 14:54:52,30.52,2025-05-01 14:54:23,77.58,in,A
2025-05-01 15:39:52,31.3,2025-05-01 15:54:23,77.58,in,A
2025-05-01 15:54:52,30.35,2025-05-01 15:54:23,77.58,in,A
2025-05-01 16:39:53,32.15,2025-05-01 16:54:23,77.58,in,A
2025-05-01 16:54:53,31.96,2025-05-01 16:54:23,77.58,in,A
2025-05-01 17:39:52,32.66,2025-05-01 17:54:23,77.58,in,A
2025-05-02 07:39:53,32.26,2025-05-02 07:54:23,77.58,in,A
2025-05-02 07:54:53,32.1,2025-05-02 07:54:23,77.58,in,A
2025-05-02 08:39:53,33.68,2025-05-02 08:54:23,77.58,in,A
2025-05-02 08:54:53,33.25,2025-05-02 08:54:23,77.58,in,A
2025-05-02 09:39:54,35.12,2025-05-02 09:54:23,77.58,in,A
2025-05-02 09:54:54,33.17,2025-05-02 09:54:23,77.58,in,A
2025-05-02 10:39:53,33.51,2025-05-02 10:54:23,77.58,in,A
2025-05-02 10:54:53,32.6,2025-05-02 10:54:23,77.58,in,A
2025-05-02 11:39:53,29.38,2025-05-02 11:54:23,77.58,in,A
2025-05-02 11:54:54,30.82,2025-05-02 11:54:23,77.58,in,A
2025-05-02 12:09:54,30.8,2025-05-02 12:10:17,77.62,in,A
2025-05-02 12:24:54,30.01,2025-05-02 12:22:17,77.74,in,A
2025-05-02 12:39:54,28.85,2025-05-02 12:52:41,77.75,in,A
2025-05-02 12:54:54,30.74,2025-05-02 12:52:41,77.75,in,A
2025-05-02 13:09:54,31.34,2025-05-02 13:02:26,77.77,in,A
2025-05-02 13:39:54,31.23,2025-05-02 13:54:23,77.77,in,A
2025-05-02 13:54:54,29.89,2025-05-02 13:54:23,77.77,in,A
2025-05-02 14:39:55,30.22,2025-05-02 14:54:23,77.77,in,A
2025-05-02 14:54:55,32.17,2025-05-02 14:54:23,77.77,in,A
2025-05-02 15:39:55,36.44,2025-05-02 15:54:23,77.77,in,A
2025-05-02 15:54:55,32.77,2025-05-02 15:54:23,77.77,in,A
2025-05-02 16:09:55,28.92,2025-05-02 16:12:22,77.78,in,A
2025-05-02 16:24:55,32.75,2025-05-02 16:22:43,77.79,in,A
2025-05-02 16:39:55,31.17,2025-05-02 16:37:31,77.8,in,A
2025-05-02 16:54:55,31.76,2025-05-02 16:54:23,77.81,in,A
2025-05-02 17:09:55,31.78,2025-05-02 17:06:24,77.82,in,A
2025-05-02 17:24:55,31.12,2025-05-02 17:21:22,77.84,in,A
2025-05-02 17:39:55,33.5,2025-05-02 17:38:33,77.87,in,A
2025-05-03 07:39:57,36.05,2025-05-03 07:54:23,78.62,in,A
2025-05-03 08:39:56,38.35,2025-05-03 08:54:23,78.62,in,A
2025-05-03 09:39:56,42.48,2025-05-03 09:54:23,78.62,in,A
2025-05-03 10:39:56,38.06,2025-05-03 10:54:23,78.62,in,A
2025-05-03 11:39:57,38.33,2025-05-03 11:54:23,78.62,in,A
2025-05-03 12:39:56,36.61,2025-05-03 12:54:23,78.62,in,A
2025-05-03 13:39:56,36.48,2025-05-03 13:54:23,78.62,in,A
2025-05-03 14:39:57,37.91,2025-05-03 14:54:23,78.62,in,A
2025-05-03 15:39:57,38.66,2025-05-03 15:54:23,78.62,in,A
2025-05-03 16:39:57,40.22,2025-05-03 16:54:23,78.62,in,A
2025-05-03 17:39:58,37.89,2025-05-03 17:54:23,78.62,in,A
2025-05-04 07:40:04,41.67,2025-05-04 07:54:23,78.62,in,A
2025-05-04 07:44:27,41.67,2025-05-04 07:54:23,78.62,in,A
2025-05-04 08:40:05,37.23,2025-05-04 08:54:23,78.62,in,A
2025-05-04 08:49:51,37.23,2025-05-04 08:54:23,78.62,in,A
2025-05-04 08:51:56,37.23,2025-05-04 08:54:23,78.62,in,A
2025-05-04 09:40:04,43.25,2025-05-04 09:54:23,78.62,in,A
2025-05-04 10:40:05,38.99,2025-05-04 10:54:23,78.62,in,A
2025-05-04 11:40:05,40.37,2025-05-04 11:54:23,78.62,in,A
2025-05-04 12:40:06,38.03,2025-05-04 12:54:23,78.62,in,A
2025-05-04 13:40:05,38.42,2025-05-04 13:54:23,78.62,in,A
2025-05-04 14:40:05,35.19,2025-05-04 14:54:23,78.62,in,A
2025-05-04 15:40:05,47.71,2025-05-04 15:54:23,78.62,in,A
2025-05-04 16:40:05,40.53,2025-05-04 16:54:23,78.62,in,A
2025-05-04 17:40:06,38.88,2025-05-04 17:54:23,78.62,in,A
2025-05-05 07:40:07,37.14,2025-05-05 07:54:23,78.62,in,A
2025-05-05 08:40:07,40.23,2025-05-05 08:54:23,78.62,in,A
2025-05-05 09:40:07,38.65,2025-05-05 09:54:23,78.62,in,A
2025-05-05 10:40:08,40.09,2025-05-05 10:54:23,78.62,in,A
2025-05-05 11:40:08,40.24,2025-05-05 11:54:23,78.62,in,A
2025-05-05 12:40:08,38.97,2025-05-05 12:54:23,78.62,in,A
2025-05-05 13:40:09,40.33,2025-05-05 13:54:23,78.62,in,A
2025-05-05 14:40:10,41.41,2025-05-05 14:54:23,78.62,in,A
2025-05-05 15:40:10,40.92,2025-05-05 15:54:23,78.62,in,A
2025-05-05 16:40:10,41.06,2025-05-05 16:54:23,78.62,in,A
2025-05-05 17:40:10,39.18,2025-05-05 17:54:23,78.62,in,A
2025-05-06 07:40:12,36.55,2025-05-06 07:54:23,78.65,in,A
2025-05-06 08:40:13,36.48,2025-05-06 08:54:23,78.65,in,A
2025-05-06 09:40:15,35.58,2025-05-06 09:54:23,78.65,in,A
