Reading,Receive,Value,Unit,Data Quality
2025-06-06 23:45:00,2025-06-07 00:37:15,2.22,ft,A
2025-06-06 23:30:00,2025-06-07 00:37:15,2.24,ft,A
2025-06-06 23:15:00,2025-06-06 23:37:12,2.25,ft,A
2025-06-06 23:00:00,2025-06-06 23:37:12,2.25,ft,A
2025-06-06 22:45:00,2025-06-06 23:37:12,2.26,ft,A
2025-06-06 22:30:00,2025-06-06 23:37:12,2.28,ft,A
2025-06-06 22:15:00,2025-06-06 22:37:11,2.31,ft,A
2025-06-06 22:00:00,2025-06-06 22:37:11,2.33,ft,A
2025-06-06 21:45:00,2025-06-06 22:37:11,2.38,ft,A
2025-06-06 21:30:00,2025-06-06 22:37:11,2.40,ft,A
2025-06-06 21:15:00,2025-06-06 21:37:11,2.43,ft,A
2025-06-06 21:00:00,2025-06-06 21:37:11,2.45,ft,A
2025-06-06 20:45:00,2025-06-06 21:37:11,2.48,ft,A
2025-06-06 20:30:00,2025-06-06 21:37:11,2.50,ft,A
2025-06-06 20:15:00,2025-06-06 20:37:10,2.53,ft,A
2025-06-06 20:00:00,2025-06-06 20:37:10,2.56,ft,A
2025-06-06 19:45:00,2025-06-06 20:37:10,2.58,ft,A
2025-06-06 19:30:00,2025-06-06 20:37:10,2.59,ft,A
2025-06-06 19:15:00,2025-06-06 19:37:15,2.62,ft,A
2025-06-06 19:00:00,2025-06-06 19:37:14,2.64,ft,A
2025-06-06 18:45:00,2025-06-06 19:37:14,2.65,ft,A
2025-06-06 18:30:00,2025-06-06 19:37:14,2.66,ft,A
2025-06-06 18:15:00,2025-06-06 18:37:13,2.67,ft,A
2025-06-06 18:00:00,2025-06-06 18:37:13,2.69,ft,A
2025-06-06 17:45:00,2025-06-06 18:37:12,2.68,ft,A
2025-06-06 17:30:00,2025-06-06 18:37:12,2.68,ft,A
2025-06-06 17:15:00,2025-06-06 17:37:15,2.69,ft,A
2025-06-06 17:00:00,2025-06-06 17:37:14,2.70,ft,A
2025-06-06 16:45:00,2025-06-06 17:37:14,2.73,ft,A
2025-06-06 16:30:00,2025-06-06 17:37:14,2.71,ft,A
2025-06-06 16:15:00,2025-06-06 16:37:15,2.72,ft,A
2025-06-06 16:00:00,2025-06-06 16:37:15,2.73,ft,A
2025-06-06 15:45:00,2025-06-06 16:37:14,2.73,ft,A
2025-06-06 15:30:00,2025-06-06 16:37:14,2.74,ft,A
2025-06-06 15:15:00,2025-06-06 15:52:12,2.75,ft,A
2025-06-06 15:00:00,2025-06-06 15:52:12,2.78,ft,A
2025-06-06 14:45:00,2025-06-06 15:52:12,2.78,ft,A
2025-06-06 14:30:00,2025-06-06 15:52:12,2.79,ft,A
2025-06-06 14:15:00,2025-06-06 14:37:13,2.79,ft,A
2025-06-06 14:00:00,2025-06-06 14:37:13,2.76,ft,A
2025-06-06 13:45:00,2025-06-06 14:37:13,2.79,ft,A
2025-06-06 13:30:00,2025-06-06 14:37:13,2.80,ft,A
2025-06-06 13:15:00,2025-06-06 13:37:10,2.78,ft,A
2025-06-06 13:00:00,2025-06-06 13:37:10,2.80,ft,A
2025-06-06 12:45:00,2025-06-06 13:37:10,2.79,ft,A
2025-06-06 12:30:00,2025-06-06 13:37:10,2.79,ft,A
2025-06-06 12:15:00,2025-06-06 12:37:11,2.78,ft,A
2025-06-06 12:00:00,2025-06-06 12:37:11,2.81,ft,A
2025-06-06 11:45:00,2025-06-06 12:37:11,2.82,ft,A
2025-06-06 11:30:00,2025-06-06 12:37:11,2.82,ft,A
2025-06-06 11:15:00,2025-06-06 11:37:12,2.83,ft,A
2025-06-06 11:00:00,2025-06-06 11:37:12,2.78,ft,A
2025-06-06 10:45:00,2025-06-06 11:37:12,2.80,ft,A
2025-06-06 10:30:00,2025-06-06 11:37:12,2.78,ft,A
2025-06-06 10:15:00,2025-06-06 10:37:12,2.81,ft,A
2025-06-06 10:00:00,2025-06-06 10:37:11,2.80,ft,A
2025-06-06 09:45:00,2025-06-06 10:37:11,2.78,ft,A
2025-06-06 09:30:00,2025-06-06 10:37:11,2.82,ft,A
2025-06-06 09:15:00,2025-06-06 09:37:11,2.80,ft,A
2025-06-06 09:00:00,2025-06-06 09:37:11,2.78,ft,A
2025-06-06 08:45:00,2025-06-06 09:37:11,2.78,ft,A
2025-06-06 08:30:00,2025-06-06 09:37:11,2.80,ft,A
2025-06-06 08:15:00,2025-06-06 08:37:10,2.79,ft,A
2025-06-06 08:00:00,2025-06-06 08:37:10,2.78,ft,A
2025-06-06 07:45:00,2025-06-06 08:37:10,2.77,ft,A
2025-06-06 07:30:00,2025-06-06 08:37:09,2.75,ft,A
2025-06-06 07:15:00,2025-06-06 07:37:14,2.75,ft,A
2025-06-06 07:00:00,2025-06-06 07:37:13,2.74,ft,A
2025-06-06 06:45:00,2025-06-06 07:37:13,2.73,ft,A
2025-06-06 06:30:00,2025-06-06 07:37:13,2.71,ft,A
2025-06-06 06:15:00,2025-06-06 06:37:14,2.69,ft,A
2025-06-06 06:00:00,2025-06-06 06:37:14,2.69,ft,A
2025-06-06 05:45:00,2025-06-06 06:37:14,2.66,ft,A
2025-06-06 05:30:00,2025-06-06 06:37:14,2.65,ft,A
2025-06-06 05:15:00,2025-06-06 05:37:13,2.61,ft,A
2025-06-06 05:00:00,2025-06-06 05:37:13,2.60,ft,A
2025-06-06 04:45:00,2025-06-06 05:37:13,2.57,ft,A
2025-06-06 04:30:00,2025-06-06 05:37:13,2.54,ft,A
2025-06-06 04:15:00,2025-06-06 04:37:14,2.52,ft,A
2025-06-06 04:00:00,2025-06-06 04:37:14,2.48,ft,A
2025-06-06 03:45:00,2025-06-06 04:37:14,2.45,ft,A
2025-06-06 03:30:00,2025-06-06 04:37:13,2.42,ft,A
2025-06-06 03:15:00,2025-06-06 03:37:15,2.39,ft,A
2025-06-06 03:00:00,2025-06-06 03:37:15,2.35,ft,A
2025-06-06 02:45:00,2025-06-06 03:37:15,2.33,ft,A
2025-06-06 02:30:00,2025-06-06 03:37:15,2.32,ft,A
2025-06-06 02:15:00,2025-06-06 02:37:14,2.30,ft,A
2025-06-06 02:00:00,2025-06-06 02:37:14,2.30,ft,A
2025-06-06 01:45:00,2025-06-06 02:37:14,2.29,ft,A
2025-06-06 01:30:00,2025-06-06 02:37:14,2.29,ft,A
2025-06-06 01:15:00,2025-06-06 01:37:13,2.29,ft,A
2025-06-06 01:00:00,2025-06-06 01:37:13,2.30,ft,A
2025-06-06 00:45:00,2025-06-06 01:37:13,2.31,ft,A
2025-06-06 00:30:00,2025-06-06 01:37:13,2.31,ft,A
2025-06-06 00:15:00,2025-06-06 00:37:13,2.32,ft,A
2025-06-06 00:00:00,2025-06-06 00:37:13,2.33,ft,A
2025-06-05 23:45:00,2025-06-06 00:37:13,2.35,ft,A
2025-06-05 23:30:00,2025-06-06 00:37:12,2.36,ft,A
2025-06-05 23:15:00,2025-06-05 23:37:16,2.38,ft,A
2025-06-05 23:00:00,2025-06-05 23:37:16,2.39,ft,A
2025-06-05 22:45:00,2025-06-05 23:37:16,2.43,ft,A
2025-06-05 22:30:00,2025-06-05 23:37:15,2.44,ft,A
2025-06-05 22:15:00,2025-06-05 22:37:11,2.46,ft,A
2025-06-05 22:00:00,2025-06-05 22:37:11,2.49,ft,A
2025-06-05 21:45:00,2025-06-05 22:37:11,2.51,ft,A
2025-06-05 21:30:00,2025-06-05 22:37:11,2.54,ft,A
2025-06-05 21:15:00,2025-06-05 21:37:15,2.56,ft,A
2025-06-05 21:00:00,2025-06-05 21:37:15,2.60,ft,A
2025-06-05 20:45:00,2025-06-05 21:37:14,2.60,ft,A
2025-06-05 20:30:00,2025-06-05 21:37:14,2.63,ft,A
2025-06-05 20:15:00,2025-06-05 20:37:12,2.64,ft,A
2025-06-05 20:00:00,2025-06-05 20:37:11,2.66,ft,A
2025-06-05 19:45:00,2025-06-05 20:37:11,2.69,ft,A
2025-06-05 19:30:00,2025-06-05 20:37:11,2.71,ft,A
2025-06-05 19:15:00,2025-06-05 19:37:13,2.72,ft,A
2025-06-05 19:00:00,2025-06-05 19:37:13,2.73,ft,A
2025-06-05 18:45:00,2025-06-05 19:37:12,2.73,ft,A
2025-06-05 18:30:00,2025-06-05 19:37:12,2.76,ft,A
2025-06-05 18:15:00,2025-06-05 18:37:10,2.76,ft,A
2025-06-05 18:00:00,2025-06-05 18:37:10,2.74,ft,A
2025-06-05 17:45:00,2025-06-05 18:37:09,2.74,ft,A
2025-06-05 17:30:00,2025-06-05 18:37:09,2.76,ft,A
2025-06-05 17:15:00,2025-06-05 17:37:10,2.73,ft,A
2025-06-05 17:00:00,2025-06-05 17:37:10,2.72,ft,A
2025-06-05 16:45:00,2025-06-05 17:37:09,2.73,ft,A
2025-06-05 16:30:00,2025-06-05 17:37:09,2.76,ft,A
2025-06-05 16:15:00,2025-06-05 16:37:12,2.72,ft,A
2025-06-05 16:00:00,2025-06-05 16:37:12,2.73,ft,A
2025-06-05 15:45:00,2025-06-05 16:37:11,2.71,ft,A
2025-06-05 15:30:00,2025-06-05 16:37:11,2.72,ft,A
2025-06-05 15:15:00,2025-06-05 15:37:12,2.68,ft,A
2025-06-05 15:00:00,2025-06-05 15:37:12,2.69,ft,A
2025-06-05 14:45:00,2025-06-05 15:37:12,2.68,ft,A
2025-06-05 14:30:00,2025-06-05 15:37:11,2.68,ft,A
2025-06-05 14:15:00,2025-06-05 14:37:12,2.67,ft,A
2025-06-05 14:00:00,2025-06-05 14:37:12,2.68,ft,A
2025-06-05 13:45:00,2025-06-05 14:37:11,2.67,ft,A
2025-06-05 13:30:00,2025-06-05 14:37:11,2.67,ft,A
2025-06-05 13:15:00,2025-06-05 13:37:12,2.67,ft,A
2025-06-05 13:00:00,2025-06-05 13:37:12,2.66,ft,A
2025-06-05 12:45:00,2025-06-05 13:37:11,2.66,ft,A
2025-06-05 12:30:00,2025-06-05 13:37:11,2.69,ft,A
2025-06-05 12:15:00,2025-06-05 12:37:12,2.67,ft,A
2025-06-05 12:00:00,2025-06-05 12:37:12,2.65,ft,A
2025-06-05 11:45:00,2025-06-05 12:37:11,2.68,ft,A
2025-06-05 11:30:00,2025-06-05 12:37:11,2.68,ft,A
2025-06-05 11:15:00,2025-06-05 11:37:12,2.67,ft,A
2025-06-05 11:00:00,2025-06-05 11:37:12,2.71,ft,A
2025-06-05 10:45:00,2025-06-05 11:37:12,2.71,ft,A
2025-06-05 10:30:00,2025-06-05 11:37:12,2.74,ft,A
2025-06-05 10:15:00,2025-06-05 10:37:15,2.74,ft,A
2025-06-05 10:00:00,2025-06-05 10:37:15,2.73,ft,A
2025-06-05 09:45:00,2025-06-05 10:37:14,2.77,ft,A
2025-06-05 09:30:00,2025-06-05 10:37:14,2.76,ft,A
2025-06-05 09:15:00,2025-06-05 09:37:12,2.79,ft,A
2025-06-05 09:00:00,2025-06-05 09:37:12,2.80,ft,A
2025-06-05 08:45:00,2025-06-05 09:37:11,2.81,ft,A
2025-06-05 08:30:00,2025-06-05 09:37:11,2.82,ft,A
2025-06-05 08:15:00,2025-06-05 08:37:11,2.82,ft,A
2025-06-05 08:00:00,2025-06-05 08:37:11,2.83,ft,A
2025-06-05 07:45:00,2025-06-05 08:37:11,2.82,ft,A
2025-06-05 07:30:00,2025-06-05 08:37:11,2.82,ft,A
2025-06-05 07:15:00,2025-06-05 07:37:14,2.81,ft,A
2025-06-05 07:00:00,2025-06-05 07:37:14,2.82,ft,A
2025-06-05 06:45:00,2025-06-05 07:37:13,2.82,ft,A
2025-06-05 06:30:00,2025-06-05 07:37:13,2.81,ft,A
2025-06-05 06:15:00,2025-06-05 06:37:12,2.80,ft,A
2025-06-05 06:00:00,2025-06-05 06:37:12,2.79,ft,A
2025-06-05 05:45:00,2025-06-05 06:37:12,2.79,ft,A
2025-06-05 05:30:00,2025-06-05 06:37:11,2.77,ft,A
2025-06-05 05:15:00,2025-06-05 05:37:12,2.76,ft,A
2025-06-05 05:00:00,2025-06-05 05:37:12,2.75,ft,A
2025-06-05 04:45:00,2025-06-05 05:37:12,2.73,ft,A
2025-06-05 04:30:00,2025-06-05 05:37:12,2.71,ft,A
2025-06-05 04:15:00,2025-06-05 04:37:11,2.70,ft,A
2025-06-05 04:00:00,2025-06-05 04:37:11,2.67,ft,A
2025-06-05 03:45:00,2025-06-05 04:37:11,2.65,ft,A
2025-06-05 03:30:00,2025-06-05 04:37:11,2.62,ft,A
2025-06-05 03:15:00,2025-06-05 03:37:13,2.59,ft,A
2025-06-05 03:00:00,2025-06-05 03:37:13,2.58,ft,A
2025-06-05 02:45:00,2025-06-05 03:37:13,2.57,ft,A
2025-06-05 02:30:00,2025-06-05 03:37:13,2.56,ft,A
2025-06-05 02:15:00,2025-06-05 02:37:10,2.56,ft,A
2025-06-05 02:00:00,2025-06-05 02:37:10,2.55,ft,A
2025-06-05 01:45:00,2025-06-05 02:37:10,2.54,ft,A
2025-06-05 01:30:00,2025-06-05 02:37:10,2.54,ft,A
2025-06-05 01:15:00,2025-06-05 01:37:10,2.54,ft,A
2025-06-05 01:00:00,2025-06-05 01:37:10,2.56,ft,A
2025-06-05 00:45:00,2025-06-05 01:37:10,2.56,ft,A
2025-06-05 00:30:00,2025-06-05 01:37:10,2.57,ft,A
2025-06-05 00:15:00,2025-06-05 00:37:11,2.59,ft,A
2025-06-05 00:00:00,2025-06-05 00:37:11,2.58,ft,A
2025-06-04 23:45:00,2025-06-05 00:37:11,2.60,ft,A
2025-06-04 23:30:00,2025-06-05 00:37:10,2.62,ft,A
2025-06-04 23:15:00,2025-06-04 23:37:13,2.63,ft,A
2025-06-04 23:00:00,2025-06-04 23:37:13,2.65,ft,A
2025-06-04 22:45:00,2025-06-04 23:37:12,2.67,ft,A
2025-06-04 22:30:00,2025-06-04 23:37:12,2.69,ft,A
2025-06-04 22:15:00,2025-06-04 22:37:14,2.72,ft,A
2025-06-04 22:00:00,2025-06-04 22:37:14,2.74,ft,A
2025-06-04 21:45:00,2025-06-04 22:37:13,2.75,ft,A
2025-06-04 21:30:00,2025-06-04 22:37:13,2.74,ft,A
2025-06-04 21:15:00,2025-06-04 21:37:11,2.80,ft,A
2025-06-04 21:00:00,2025-06-04 21:37:11,2.83,ft,A
2025-06-04 20:45:00,2025-06-04 21:37:10,2.86,ft,A
2025-06-04 20:30:00,2025-06-04 21:37:10,2.88,ft,A
2025-06-04 20:15:00,2025-06-04 20:37:14,2.89,ft,A
2025-06-04 20:00:00,2025-06-04 20:37:14,2.93,ft,A
2025-06-04 19:45:00,2025-06-04 20:37:14,2.95,ft,A
2025-06-04 19:30:00,2025-06-04 20:37:14,2.97,ft,A
2025-06-04 19:15:00,2025-06-04 19:37:13,2.96,ft,A
2025-06-04 19:00:00,2025-06-04 19:37:13,2.96,ft,A
2025-06-04 18:45:00,2025-06-04 19:37:13,2.94,ft,A
2025-06-04 18:30:00,2025-06-04 19:37:13,2.98,ft,A
2025-06-04 18:15:00,2025-06-04 18:37:12,2.99,ft,A
2025-06-04 18:00:00,2025-06-04 18:37:12,2.97,ft,A
2025-06-04 17:45:00,2025-06-04 18:37:12,2.99,ft,A
2025-06-04 17:30:00,2025-06-04 18:37:12,2.99,ft,A
2025-06-04 17:15:00,2025-06-04 17:37:11,2.99,ft,A
2025-06-04 17:00:00,2025-06-04 17:37:11,2.95,ft,A
2025-06-04 16:45:00,2025-06-04 17:37:11,2.96,ft,A
2025-06-04 16:30:00,2025-06-04 17:37:11,2.96,ft,A
2025-06-04 16:15:00,2025-06-04 16:37:18,2.92,ft,A
