Reading,Receive,Value,Unit,Data Quality
2025-06-06 23:54:23,2025-06-06 23:55:05,0.00,in,A
2025-06-06 22:54:23,2025-06-06 22:55:05,0.00,in,A
2025-06-06 21:54:23,2025-06-06 21:55:04,0.00,in,A
2025-06-06 20:54:23,2025-06-06 20:55:05,0.00,in,A
2025-06-06 19:54:23,2025-06-06 19:55:04,0.00,in,A
2025-06-06 18:54:23,2025-06-06 18:55:04,0.00,in,A
2025-06-06 17:54:23,2025-06-06 17:55:04,0.00,in,A
2025-06-06 16:54:23,2025-06-06 16:55:05,0.00,in,A
2025-06-06 15:54:23,2025-06-06 15:55:04,0.00,in,A
2025-06-06 14:54:23,2025-06-06 14:55:04,0.00,in,A
2025-06-06 13:54:23,2025-06-06 13:55:05,0.00,in,A
2025-06-06 12:54:23,2025-06-06 12:55:04,0.00,in,A
2025-06-06 11:54:23,2025-06-06 11:55:05,0.00,in,A
2025-06-06 10:54:23,2025-06-06 10:55:06,0.00,in,A
2025-06-06 09:54:23,2025-06-06 09:55:04,0.00,in,A
2025-06-06 08:54:23,2025-06-06 08:55:04,0.00,in,A
2025-06-06 07:54:23,2025-06-06 07:55:05,0.00,in,A
2025-06-06 06:54:23,2025-06-06 06:55:05,0.00,in,A
2025-06-06 05:54:23,2025-06-06 05:55:05,0.00,in,A
2025-06-06 04:54:23,2025-06-06 04:55:04,0.00,in,A
2025-06-06 03:54:23,2025-06-06 03:55:05,0.00,in,A
2025-06-06 02:54:23,2025-06-06 02:55:04,0.00,in,A
2025-06-06 01:54:23,2025-06-06 01:55:05,0.00,in,A
2025-06-06 00:54:23,2025-06-06 00:55:04,0.00,in,A
2025-06-05 23:54:23,2025-06-05 23:55:05,0.00,in,A
2025-06-05 22:54:23,2025-06-05 22:55:04,0.00,in,A
2025-06-05 21:54:23,2025-06-05 21:55:06,0.00,in,A
2025-06-05 20:54:23,2025-06-05 20:55:04,0.00,in,A
2025-06-05 19:54:23,2025-06-05 19:55:05,0.00,in,A
2025-06-05 18:54:23,2025-06-05 18:55:05,0.00,in,A
2025-06-05 17:54:23,2025-06-05 17:55:05,0.00,in,A
2025-06-05 16:54:23,2025-06-05 16:55:05,0.00,in,A
2025-06-05 15:54:23,2025-06-05 15:55:06,0.00,in,A
2025-06-05 14:54:23,2025-06-05 14:55:04,0.00,in,A
2025-06-05 13:54:23,2025-06-05 13:55:05,0.00,in,A
2025-06-05 12:54:23,2025-06-05 12:55:06,0.00,in,A
2025-06-05 11:54:23,2025-06-05 11:55:06,0.00,in,A
2025-06-05 10:54:23,2025-06-05 10:55:05,0.00,in,A
2025-06-05 09:54:23,2025-06-05 09:55:05,0.00,in,A
