Datetime,Turbidity,RoundedTime,Receive,Value,Unit,Data Quality
2025-05-01 14:09:51,28.7,2025-05-01 14:15:00,,,,
2025-05-01 14:24:52,30.12,2025-05-01 14:30:00,,,,
2025-05-01 14:39:52,30.81,2025-05-01 14:45:00,,,,
2025-05-01 14:54:52,30.52,2025-05-01 15:00:00,,,,
2025-05-01 15:09:52,31.19,2025-05-01 15:15:00,,,,
2025-05-01 15:24:52,31.03,2025-05-01 15:30:00,,,,
2025-05-01 15:39:52,31.3,2025-05-01 15:45:00,,,,
2025-05-01 15:54:52,30.35,2025-05-01 16:00:00,,,,
2025-05-01 16:09:52,31.97,2025-05-01 16:15:00,,,,
2025-05-01 16:24:53,31.39,2025-05-01 16:30:00,,,,
2025-05-01 16:39:53,32.15,2025-05-01 16:45:00,,,,
2025-05-01 16:54:53,31.96,2025-05-01 17:00:00,,,,
2025-05-01 17:09:33,33.15,2025-05-01 17:15:00,,,,
2025-05-01 17:09:52,33.15,2025-05-01 17:15:00,,,,
2025-05-01 17:24:52,32.03,2025-05-01 17:30:00,,,,
2025-05-01 17:39:52,32.66,2025-05-01 17:45:00,,,,
2025-05-02 07:09:53,33.08,2025-05-02 07:15:00,,,,
2025-05-02 07:24:53,32.69,2025-05-02 07:30:00,,,,
2025-05-02 07:39:53,32.26,2025-05-02 07:45:00,,,,
2025-05-02 07:54:53,32.1,2025-05-02 08:00:00,,,,
2025-05-02 08:09:53,32.14,2025-05-02 08:15:00,,,,
2025-05-02 08:24:53,31.5,2025-05-02 08:30:00,,,,
2025-05-02 08:39:53,33.68,2025-05-02 08:45:00,,,,
2025-05-02 08:54:53,33.25,2025-05-02 09:00:00,,,,
2025-05-02 09:09:53,40.02,2025-05-02 09:15:00,,,,
2025-05-02 09:24:53,31.62,2025-05-02 09:30:00,,,,
2025-05-02 09:39:54,35.12,2025-05-02 09:45:00,,,,
2025-05-02 09:54:54,33.17,2025-05-02 10:00:00,,,,
2025-05-02 10:09:54,31.44,2025-05-02 10:15:00,,,,
2025-05-02 10:24:53,32.18,2025-05-02 10:30:00,,,,
2025-05-02 10:39:53,33.51,2025-05-02 10:45:00,,,,
2025-05-02 10:54:53,32.6,2025-05-02 11:00:00,,,,
2025-05-02 11:09:53,32.98,2025-05-02 11:15:00,,,,
2025-05-02 11:24:53,30.74,2025-05-02 11:30:00,,,,
2025-05-02 11:39:53,29.38,2025-05-02 11:45:00,,,,
2025-05-02 11:54:54,30.82,2025-05-02 12:00:00,,,,
2025-05-02 12:09:54,30.8,2025-05-02 12:15:00,,,,
2025-05-02 12:24:54,30.01,2025-05-02 12:30:00,,,,
2025-05-02 12:39:54,28.85,2025-05-02 12:45:00,,,,
2025-05-02 12:54:54,30.74,2025-05-02 13:00:00,,,,
2025-05-02 13:09:54,31.34,2025-05-02 13:15:00,,,,
2025-05-02 13:24:54,27.72,2025-05-02 13:30:00,,,,
2025-05-02 13:39:54,31.23,2025-05-02 13:45:00,,,,
2025-05-02 13:54:54,29.89,2025-05-02 14:00:00,,,,
2025-05-02 14:09:54,30.35,2025-05-02 14:15:00,,,,
2025-05-02 14:24:54,30.36,2025-05-02 14:30:00,,,,
2025-05-02 14:39:55,30.22,2025-05-02 14:45:00,,,,
2025-05-02 14:54:55,32.17,2025-05-02 15:00:00,,,,
2025-05-02 15:09:55,32.22,2025-05-02 15:15:00,,,,
2025-05-02 15:24:55,32.13,2025-05-02 15:30:00,,,,
2025-05-02 15:39:55,36.44,2025-05-02 15:45:00,,,,
2025-05-02 15:54:55,32.77,2025-05-02 16:00:00,,,,
2025-05-02 16:09:55,28.92,2025-05-02 16:15:00,2025-05-02 16:16:58,0.01,in,A
2025-05-02 16:24:55,32.75,2025-05-02 16:30:00,,,,
2025-05-02 16:39:55,31.17,2025-05-02 16:45:00,,,,
2025-05-02 16:54:55,31.76,2025-05-02 17:00:00,,,,
2025-05-02 17:09:55,31.78,2025-05-02 17:15:00,,,,
2025-05-02 17:24:55,31.12,2025-05-02 17:30:00,,,,
2025-05-02 17:39:55,33.5,2025-05-02 17:45:00,,,,
2025-05-03 07:09:57,36.64,2025-05-03 07:15:00,,,,
2025-05-03 07:24:57,35.69,2025-05-03 07:30:00,,,,
2025-05-03 07:39:57,36.05,2025-05-03 07:45:00,,,,
2025-05-03 08:09:56,38.35,2025-05-03 08:15:00,,,,
2025-05-03 08:24:56,37.42,2025-05-03 08:30:00,,,,
2025-05-03 08:39:56,38.35,2025-05-03 08:45:00,,,,
2025-05-03 09:09:56,37.8,2025-05-03 09:15:00,,,,
2025-05-03 09:24:56,39.23,2025-05-03 09:30:00,,,,
2025-05-03 09:39:56,42.48,2025-05-03 09:45:00,,,,
2025-05-03 10:09:56,38.55,2025-05-03 10:15:00,,,,
2025-05-03 10:24:56,39.74,2025-05-03 10:30:00,,,,
2025-05-03 10:39:56,38.06,2025-05-03 10:45:00,,,,
2025-05-03 11:09:57,36.67,2025-05-03 11:15:00,,,,
2025-05-03 11:24:57,36.94,2025-05-03 11:30:00,,,,
2025-05-03 11:39:57,38.33,2025-05-03 11:45:00,,,,
2025-05-03 12:09:56,36.37,2025-05-03 12:15:00,,,,
2025-05-03 12:24:56,37.34,2025-05-03 12:30:00,,,,
2025-05-03 12:39:56,36.61,2025-05-03 12:45:00,,,,
2025-05-03 13:09:57,34.98,2025-05-03 13:15:00,,,,
2025-05-03 13:24:56,38.56,2025-05-03 13:30:00,,,,
2025-05-03 13:39:56,36.48,2025-05-03 13:45:00,,,,
2025-05-03 14:09:56,56.89,2025-05-03 14:15:00,,,,
2025-05-03 14:24:56,38.41,2025-05-03 14:30:00,,,,
2025-05-03 14:39:57,37.91,2025-05-03 14:45:00,,,,
2025-05-03 15:09:57,36.21,2025-05-03 15:15:00,,,,
2025-05-03 15:18:22,36.21,2025-05-03 15:15:00,,,,
2025-05-03 15:18:40,36.21,2025-05-03 15:15:00,,,,
2025-05-03 15:19:25,36.21,2025-05-03 15:15:00,,,,
2025-05-03 15:19:45,36.21,2025-05-03 15:15:00,,,,
